Date et heure de comptage;Identifiant arc;Libelle;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
2023-11-02 23:00:00+00:00;376;St_Antoine;107.0;4.01667;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 00:00:00+00:00;376;St_Antoine;122.0;3.64222;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 01:00:00+00:00;376;St_Antoine;98.0;4.43722;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 02:00:00+00:00;376;St_Antoine;;;Inconnu;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 03:00:00+00:00;376;St_Antoine;41.0;5.15056;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 04:00:00+00:00;376;St_Antoine;52.0;3.45056;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 05:00:00+00:00;376;St_Antoine;52.0;5.36056;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 06:00:00+00:00;376;St_Antoine;104.0;3.63445;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 07:00:00+00:00;376;St_Antoine;141.0;10.50834;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
2023-11-03 08:00:00+00:00;376;St_Antoine;169.0;5.685;Fluide;220;Bastille-St_Antoine;219;St_Antoine-Jacques_Coeur;Barré;1996-10-03;2023-01-01;48.853334646688445, 2.3680570863951003;"{""coordinates"": [[2.368461247571322, 48.853286071249094], [2.3676529252188785, 48.853383222127796]], ""type"": ""LineString""}"
